Column Name,Primary Key,Type,Size,Nullable
VOUCHERAMOUNT,NO,CHAR,0,YES
IDVOUCHERTYPE,NO,CHAR,0,YES
WEBSITE_FLUXNATIONAL,NO,CHAR,0,YES
LOCALLYMANUFACTURED,NO,CHAR,0,YES
INSERVICECENTER,NO,CHAR,0,YES
LASTTRANSFERTDATETOSC,NO,CHAR,0,YES
LASTSERVICEDDATE,NO,CHAR,0,YES
NEXTSERVICINGDATE,NO,CHAR,0,YES
NO_ETRS,NO,CHAR,0,YES
PRIXMODIFIABLETTC,NO,CHAR,0,YES
ARTICLESSTDPRICE,NO,CHAR,0,YES
IDMRAPRODUCTCODE,NO,CHAR,0,YES
FILTERBYSTORES_TILLS,NO,CHAR,0,YES
NBROFBUNDLESOLD,NO,CHAR,0,NO
BUNDLELIMIT,NO,CHAR,0,NO
MRATYPEOFSUPPLIES,NO,CHAR,0,NO
BUNDLEQTYRESERVED,NO,CHAR,0,NO
BATCHNOMANDATORY,NO,CHAR,0,NO
